"LEFT_CONTEXT";"MODAL_VERB";"RIGHT_CONTEXT";"ASPINF";"TENSEPRI";"DO";"DATIVE";"MODIFIER";"NEGATION";"ORDER"
"изо-бретательностью. Мать как-то ― это было до того, как их познакомили, ― вывихнула ногу, и все";"  пришлось ";"делать ей, а отец тогда как бы уехал в командировку, а она, девочка, знала, что  ←…→ ";"IPF";"PAST";"PRON";"YES";"NO";"NO";"PRE"
"И все же готовить бутерброды для Чикатило супруга Бухановского отказалась. Александру Олимпиевичу";"  пришлось ";"делать их самому. ― Идея привлечь меня к работе следствия принадлежала генерал-майору милиции, первому заместителю начальника  ←…→ ";"IPF";"PAST";"PL";"YES";"NO";"NO";"POST"
"в коридорах этой громады, попал не туда, его выставили, и вместо работы по специальности ему";"  пришлось ";"делать мировую историю. Я всю жизнь сомневался, что такая вещь, как австрийская литература, существует в  ←…→ ";"IPF";"PAST";"SG";"YES";"NO";"NO";"POST"
", в идеале — пушкинским. Но вот тридцать лет назад мне и моим коллегам";"  пришлось ";"делать антологию «Памятники средневековой латинской литературы». Нужно было передать ощущение, что это — другая эпоха, не  ←…→ ";"IPF";"PAST";"SG";"YES";"NO";"NO";"POST"
"ограничение на отбор концевых слов, заставляющее заменять точный перевод обходным пересказом. Мне только один раз";"  пришлось ";"делать большой перевод с рифмами — зато обильными, часто четверными. Это были стихи средневековых вагантов. Перевод  ←…→ ";"IPF";"PAST";"SG";"YES";"YES";"NO";"POST"
"разделение цветочной зоны, предназначенной для отдыха, и теннисного корта со спортивными снарядами. Участок был маленький,";"  пришлось ";"делать Z-образную форму пергол, а также арки, увитые девичьим виноградом, чтобы люди не мешали  ←…→ ";"IPF";"PAST";"PL";"NO";"NO";"NO";"POST"
"свело так, что в течение получаса после их короткой программы кисти буквально окостенели, и мне";"  пришлось ";"делать уколы, чтобы снять напряжение в руке и я могла бы пошевелить пальцами. Не люблю  ←…→ ";"IPF";"PAST";"PL";"YES";"NO";"NO";"POST"
"и улучшить наложение гипсовых повязок";" я придумал для этого простые пластмассовые формы-вкладки. Мне вновь";"  пришлось; делать эту работу вынужденно, после того как я уже «походил в профессорах». Иногда полезно спуститься  ←…→ ";"IPF";"PAST";"SG";"YES";"YES";"NO";"POST"
"не захлебнувшегося морской водой пленника, которая просочилась через маску. Так что Сэмэну в первую очередь";"  пришлось ";"делать колумбийцу искусственное дыхание, что явно не доставило ему удовольствия.   ←…→ ";"IPF";"PAST";"SG";"YES";"YES";"NO";"POST"
"быстро, но та улица, которая вела к ГУМу, была перегорожена: велись строительные работы, и ему";"  пришлось ";"делать небольшой крюк. Пытаясь сосредоточиться на новом маршруте, он не обратил внимания, что за ним  ←…→ ";"IPF";"PAST";"SG";"YES";"YES";"NO";"POST"
"использовать электронные таблицы, то ли в обиде специально испортила базу данных перед уходом. Панкратовой все";"  пришлось ";"делать заново. Она, стремясь поскорее показать себя, задерживалась вечерами и сидела по выходным. Пишуев днем  ←…→ ";"IPF";"PAST";"PRON";"YES";"YES";"NO";"POST"
"Нет, скорее в аду. Хотели его взорвать, как бешеную собаку, но потом не так";"  пришлось ";"делать. Наш человек его из снайперской винтовки застрелил. Этого Артема его же счетовод сдал, которого  ←…→ ";"IPF";"PAST";"NO";"NO";"YES";"NO";"NO"
"было случая, чтобы она ошиблась в оценке». Итак, поскольку комнатки в Гендриковом были маленькие, мебель";"  пришлось ";"делать по заказу в Мосдреве. ЛЮ ездила в мастерские, выбирала фасон бюро и полок, вносила  ←…→ ";"IPF";"PAST";"SG";"NO";"NO";"NO";"PRE"
"Мои распоряжения четко выполняли. Из-за отека гортани трубку не смогли ввести,";"  пришлось ";"делать трахеостому. Прошло полчаса, может ― больше. За это время получил информацию от «наружной службы» при  ←…→ ";"IPF";"PAST";"SG";"NO";"NO";"NO";"POST"
"это погода и земляное покрытие кортов. Причем корт оказался так насыщен влагой, что ничего не";"  пришлось ";"делать специально. Для индусов, отлично играющих на траве (быстром покрытии), донецкий корт получился слишком медленный  ←…→ ";"IPF";"PAST";"PRON";"NO";"YES";"YES";"PRE"
"Терпела и все, как лошадь терпит жокея. При этом рассказывала подружкам (всем то есть), что";"  пришлось ";"делать аборт. Изюм занес сперму рукой, вот! (Изюм, оправдываясь, всячески ей объяснял, видимо, все свои  ←…→ ";"IPF";"PAST";"SG";"NO";"NO";"NO";"POST"
"не выдержал, пошел через неделю после больницы на каток, и шов на животе слегка разошелся.";"  Пришлось ";"делать разные процедуры, и к лету все прошло, но я стал бояться стоять в воротах  ←…→ ";"IPF";"PAST";"PL";"NO";"YES";"NO";"POST"
"с перламутровой крышкой. Полиграфия наша еще не доросла до воспроизводства реального зеркала на обложках, поэтому";"  пришлось ";"делать слайд. И тут нам при пересъемке пришлось порядком попотеть. Чертово зеркальце не давалось фотографироваться  ←…→ ";"IPF";"PAST";"SG";"NO";"NO";"NO";"POST"
"был там свой кабинет, в котором еле уместились письменный стол, тахта и платяной шкаф. Мебель";"  пришлось ";"делать на заказ, так как стандартная не влезала. Так же было в комнате у Брика  ←…→ ";"IPF";"PAST";"SG";"NO";"YES";"NO";"PRE"
"в политике. «Джентльмен уступает место даме в автобусе, но не очень заботится, чтобы даме не";"  пришлось ";"делать аборт. Обычай не установился, а совесть помалкивает. Сейчас есть средства, которые женщина сама может  ←…→ ";"IPF";"PAST";"SG";"YES";"NO";"YES";"POST"
"морскую, пока Эгина была великой морской державой, и сухопутную — потом). Впоследствии, когда деньги подешевели, монеты";"  пришлось ";"делать крупнее, и на них стало возможно изображать целые мифологические сцены; по тонкости чеканного рисунка  ←…→ ";"IPF";"PAST";"PL";"NO";"YES";"NO";"PRE"
"И отрицать этого нельзя. До дома, где жил Михаил, добираться с «Профсоюзной» было неудобно,";"  пришлось ";"делать две пересадки в метро. Анна всю дорогу была молчаливой, при любой возможности старалась сесть  ←…→ ";"IPF";"PAST";"PL";"NO";"NO";"NO";"POST"
"Такова была практика еще в застойные времена, такой она осталась и сейчас. Дальше ему";"  пришлось ";"делать выбор между институтами, которые будут работать на комиссию Президентского совета, и теми, откуда будут  ←…→ ";"IPF";"PAST";"SG";"YES";"YES";"NO";"POST"
"жилье ― зимнюю дачу рядом с Тимирязевским парком, возле Соломенной Сторожки. Дача была такой запущенной, что";"  пришлось ";"делать спешный ремонт, к тому же Алексей Кириллович готовил новый большой курс общей энтомологии и  ←…→ ";"IPF";"PAST";"SG";"NO";"YES";"NO";"POST"
"деревне у бабушки посреди зимы Вика оказалась не по своей доброй воле. В шестнадцать годочков";"  пришлось ";"делать аборт. Связалась с компанией, а с компанией хоть к лешему на рога. Бросила школу  ←…→ ";"IPF";"PAST";"SG";"NO";"NO";"NO";"POST"
"Вернулся в часть, снова начали бить. Так били, что повредили ногу,";"  пришлось ";"делать операцию. В госпитале наведался ко мне комбат, выпытывал: ― Кто бил?   ←…→ ";"IPF";"PAST";"SG";"NO";"NO";"NO";"POST"
"Я так расстроилась, ну прямо до слез.";"  Пришлось ";"делать перепланировку дома, и это заняло массу времени, не говоря уже о деньгах. Но своего  ←…→ ";"IPF";"PAST";"SG";"NO";"NO";"NO";"POST"
"то БН нравился экономический класс, у него была привычка к другим летным условиям, и ему";"  пришлось ";"делать вид, что ему все равно, и он хвастался близким знакомством с Хрущевым: ― Значит, так  ←…→ ";"IPF";"PAST";"SG";"YES";"NO";"NO";"POST"
"Вместо того, чтобы дать задний ход и вернуться на Фаунтэйн, «овца» поехал вперед, и им";"  пришлось ";"делать крюк, потому что кругом были тупики или улицы с односторонним движением. Славку, наверное, укачало  ←…→ ";"IPF";"PAST";"SG";"YES";"NO";"NO";"POST"
"Ко всему еще он не знал, как поступить. Но ему не";"  пришлось ";"делать выбор. Через несколько дней сын вернулся домой. Оказывается, и он и Надя уже давно  ←…→ ";"IPF";"PAST";"SG";"YES";"NO";"YES";"POST"
"Правда, у степановских кулаков люди работали… Дальнейшие расчеты";"  пришлось ";"делать уже в облисполкоме. Там, в Главном планово-экономическом управлении, предоставили данные по области. Выяснилось, что  ←…→ ";"IPF";"PAST";"PL";"NO";"YES";"NO";"PRE"
"И страх прошел. Снимали вчистую,";"  пришлось ";"делать двенадцать дублей ― то петух прокукарекал, то лодка вошла в кадр, то еще кого-то зацепили  ←…→ ";"IPF";"PAST";"PL";"NO";"NO";"NO";"POST"
"Остановить его удалось с большим трудом и эмоциями. На следующее утро кровотечение повторилось,";"  пришлось ";"делать реторакотомию. Больной все еще лежит на искусственном дыхании, не знаю, вытянем ли. Мужчина, пять  ←…→ ";"IPF";"PAST";"SG";"NO";"NO";"NO";"POST"
"То, да не совсем. То, что ему не";"  пришлось ";"делать. Русские парни штурмовали Берлин. Бои на улицах.   ←…→ ";"IPF";"PAST";"PRON";"YES";"NO";"YES";"PRE"
"«Саше становилось все хуже. Не мог есть,";"  пришлось ";"делать другую операцию, вывести пищевод, теперь у него в боку была трубка, через воронку туда  ←…→ ";"IPF";"PAST";"SG";"YES";"YES";"NO";"POST"
") и сказать ― дайте мне билет. В Киеве, на вокзале, это";"  пришлось ";"делать мне («Упаси Бог, он лучше умрет!» ), так же как уговаривать проводника, чтоб их двоих  ←…→ ";"IPF";"PAST";"PRON";"YES";"YES";"NO";"PRE"
"Максим вспомнил, как это было, и не выдержал спокойного тона, переглотнул от обиды. ― Два укола";"  пришлось ";"делать. Ерунда, конечно, да из-за этого в школу опоздал. А она со своими рублями…   ←…→ ";"IPF";"PAST";"PL";"NO";"NO";"NO";"PRE"
"мы делали в Пролеткульте у Эйзенштейна и слышали от него на занятиях, и тем, что";"  пришлось ";"делать и наблюдать в работе над «Потемкиным». Неумолимый ритм действия, стройная композиция, драматизм и лаконичность  ←…→ ";"IPF";"PAST";"PRON";"NO";"NO";"NO";"PRE"
"промышленности и сельском хозяйстве страны, понаслышке. Когда через несколько месяцев после поездки по стройкам мне";"  пришлось ";"делать в Берлине, Париже и Лондоне доклады о нашей пятилетке, я реально представлял себе грандиозные  ←…→ ";"IPF";"PAST";"PL";"YES";"YES";"NO";"POST"
"издевались над ним, а Кехада с ним постоянно ссорился. Эллизауэр оказался принципиальным юдофобом, и ему";"  пришлось ";"делать по поводу Изи специальное внушение… Было. Все было. И при всем при том довольно  ←…→ ";"IPF";"PAST";"SG";"YES";"YES";"NO";"POST"
"Война, начатая на Азиатском континенте и тихоокеанских просторах, приблизилась к берегам самой Японии.";"  Пришлось ";"делать ставку на пилотов-смертников, камикадзе, в надежде, что они, подобно «божественному ветру», разметавшему флот  ←…→ ";"IPF";"PAST";"SG";"NO";"YES";"NO";"POST"
"Правда, чтобы углубить знание вопроса, вечернего купания в Днепре, конечно же, оказалось недостаточно. Это";"  пришлось ";"делать еще и в библиотеке и во многих беседах, в том числе с тем же  ←…→ ";"IPF";"PAST";"PRON";"NO";"YES";"NO";"PRE"
;"  Пришлось ";"делать круг, чтобы заскочить к начальнику районного отдела милиции. Птицын ввел его в курс дела  ←…→ ";"IPF";"PAST";"SG";"NO";"NO";"NO";"POST"
"Она прекрасно смачивает сталь и проникает в мельчайшие, невидимые даже в микроскоп, трещины в металле.";"  Пришлось ";"делать скорлупу из стали высокого качества, вытачивать достаточно толстые стенки, тщательно герметизировать шар. Диаметр шара  ←…→ ";"IPF";"PAST";"SG";"NO";"NO";"NO";"POST"
"Алкоголики бросили домино, эту отвратительную игру. Один даже съел шестерочный дупель, так что";"  пришлось ";"делать потом из картона (хоть бы он их все съел ― и дупли и нет, ― тогда не было бы этого стука), и, бросив все, они начали хохотать над унитазами ";"IPF";"PAST";"NO";"NO";"NO";"NO";"NO"
